"","811","812","813"
"Q15149",1,1,1
"Q09666",1,1,1
"P21333",1,1,1
"P78527",1,1,1
"O75369",1,1,1
"Q14204",1,1,1
"Q13813",1,1,1
"Q01082",1,1,1
"P35579",1,1,1
"P31327",1,1,1
"Q9Y490",1,1,1
"P49327",1,1,1
"Q00610",1,1,1
"P46940",1,1,1
"Q7Z6Z7",1,1,1
"Q92616",1,1,1
"P07814",1,1,1
"O43707",1,1,1
"Q14980",1,1,1
"P27708",1,1,1
"P46013",1,1,1
"P42704",1,1,1
"P22314",1,1,1
"P12814",1,1,1
"P49792",1,1,1
"Q5T4S7",1,1,1
"O75643",1,1,1
"P13639",1,1,1
"Q6P2Q9",1,1,1
"P55072",1,1,1
"P18206",1,1,1
"P14618",1,1,1
"Q08211",1,1,1
"Q14573",1,1,1
"P12270",1,1,1
"P0DMV8",1,1,1
"P0DMV9",1,1,1
"P08238",1,1,1
"Q9NZM1",1,1,1
"P34932",1,1,1
"P14625",1,1,1
"Q86UP2",1,1,1
"P02545",1,1,1
"P11586",1,1,1
"P22102",1,1,1
"P11021",1,1,1
"P07900",1,1,1
"P41252",1,1,1
"P78371",1,1,1
"P07437",1,1,1
"P49588",1,1,1
"P05787",1,1,1
"P04075",1,1,1
"P68371",0,1,1
"P11142",1,1,1
"P53621",1,1,1
"P53396",1,1,1
"P43243",1,1,1
"P63261",1,1,1
"P60709",1,1,1
"O75533",1,1,1
"Q9Y4L1",1,1,1
"P06733",1,1,1
"Q8WWI1",1,1,1
"P13667",1,1,1
"Q04637",1,1,1
"P11388",1,1,1
"P55060",1,1,1
"P26038",1,1,1
"P10809",1,1,1
"P35658",1,1,1
"Q14697",1,1,1
"P52272",1,1,1
"O00410",1,1,1
"O00571",1,1,1
"P58107",1,1,1
"P38646",1,1,1
"P00558",1,1,1
"P08670",1,1,1
"Q9UIG0",1,1,1
"P26358",1,1,1
"P17987",1,1,1
"Q14152",1,1,1
"P15924",1,1,1
"P29401",1,1,1
"P31939",1,1,1
"P33176",1,1,1
"P49321",1,1,1
"P27824",1,1,1
"Q9C0C2",1,1,1
"Q13085",1,1,1
"P49736",1,1,1
"Q14203",1,1,1
"P16615",1,1,1
"P47897",1,1,1
"Q9P2E9",1,1,1
"Q04695",1,1,1
"Q9UQ35",1,1,1
"Q15029",1,1,1
"Q12888",1,1,1
"Q99832",1,1,1
"O14980",1,1,1
"P05023",1,1,1
"Q92900",1,1,1
"P09874",1,1,1
"P52948",1,1,1
"Q14839",1,1,1
"Q15021",1,1,1
"Q9BQE3",1,1,1
"Q14683",1,1,1
"O15067",1,1,1
"Q14690",1,1,1
"Q16531",1,1,1
"Q7L014",1,1,1
"P06576",1,1,1
"Q13263",1,1,1
"Q93008",1,1,1
"Q13200",1,1,1
"P26640",1,1,1
"P25205",1,1,1
"P08195",1,1,1
"O00429",1,1,1
"Q93009",1,1,1
"O15020",1,1,1
"Q29RF7",1,1,1
"Q5JPE7",1,1,1
"P52701",1,1,1
"P20700",1,1,1
"O60841",1,1,1
"P13797",1,1,1
"Q08J23",1,1,1
"P55265",1,1,1
"Q7KZF4",1,1,1
"Q14566",1,1,1
"P40939",1,1,1
"P61978",1,1,1
"Q5VYK3",1,1,1
"P49368",1,1,1
"Q00341",1,1,1
"P25705",1,1,1
"Q12906",1,1,1
"Q92621",1,1,1
"P26639",1,1,1
"Q14C86",1,1,1
"Q99460",1,1,1
"Q8WUM4",1,1,1
"P50990",1,1,1
"P48643",1,1,1
"P31948",1,1,1
"Q9NTJ3",1,1,1
"Q92598",1,1,1
"P13010",1,1,1
"Q9P2J5",1,1,1
"P49411",1,1,1
"Q15393",1,1,1
"Q15155",1,1,1
"Q92499",1,1,1
"Q9NU22",1,1,1
"P16144",1,1,1
"Q01813",1,1,1
"O60506",1,1,1
"P50395",1,1,1
"Q5JTH9",1,1,1
"P49915",1,1,1
"P42166",1,1,1
"Q6UVK1",1,1,1
"P33991",1,1,1
"P54136",1,1,1
"Q9UQE7",1,1,1
"Q02880",1,1,1
"P02786",1,1,1
"Q9NR30",1,1,1
"Q9NYU2",1,1,1
"P30101",1,1,1
"P23921",1,1,1
"O43175",1,1,1
"Q00839",1,1,1
"Q13885",1,1,1
"Q9Y678",1,1,1
"P15311",1,1,1
"P49748",1,1,1
"Q9NZB2",1,1,1
"P68366",1,1,1
"Q9BQG0",1,1,1
"O94906",1,1,1
"P05783",1,1,1
"P56192",1,1,1
"Q9Y5B9",1,1,1
"Q14643",1,1,1
"P27797",1,1,1
"Q92841",1,1,1
"P08727",1,1,1
"P26599",1,1,1
"O60610",1,1,1
"Q16658",1,1,1
"Q9H583",1,1,1
"Q14974",1,1,1
"Q92614",1,1,1
"P29144",1,1,1
"P63010",1,1,1
"P55884",1,1,1
"P11717",1,1,1
"P11940",1,1,1
"B0I1T2",1,1,1
"P13645",1,1,1
"P27816",1,1,1
"Q9H0A0",1,1,1
"P23246",1,1,1
"Q86VP6",1,1,1
"Q12797",1,1,1
"P00533",1,1,1
"P50991",1,1,1
"Q9Y2L1",1,1,1
"P07355",1,1,1
"P04083",1,1,1
"P28340",1,1,1
"Q16891",1,1,1
"P60842",1,1,1
"Q02790",1,1,1
"O43390",1,1,1
"P08729",1,1,1
"P53618",1,1,1
"P04406",1,1,1
"Q02218",1,1,1
"P48147",1,1,1
"P11413",1,1,1
"P30622",1,1,1
"P06737",1,1,1
"P41250",1,1,1
"Q06210",1,1,1
"P10586",1,1,1
"P51659",1,1,1
"Q96QK1",1,1,1
"Q7Z2W4",1,1,1
"P12956",1,1,1
"P04040",1,1,1
"Q9UQ80",1,1,1
"P14868",1,1,1
"Q14258",1,1,1
"P34897",1,1,1
"O00567",1,1,1
"Q99798",1,1,1
"P51610",1,1,1
"P31040",1,1,1
"P35606",1,1,1
"P42345",1,1,1
"O00267",1,1,1
"P35573",1,1,1
"P11498",1,1,1
"O95347",1,1,1
"O43143",1,1,1
"Q5UIP0",1,1,1
"P78344",1,1,1
"Q8TEQ6",1,1,1
"Q9Y2X3",1,1,1
"Q14008",1,1,1
"P43246",1,1,1
"P80723",1,1,1
"P20042",1,1,1
"Q8WUM0",1,1,1
"P17844",1,1,1
"Q9BSJ8",1,1,1
"Q13435",1,1,1
"Q9UPN3",1,1,1
"Q15233",1,1,1
"Q8TEM1",1,1,1
"Q8IY81",1,1,1
"Q9H2G2",1,1,1
"Q14157",1,1,1
"P55786",1,1,1
"P54577",1,1,1
"O95782",1,1,1
"Q16881",1,1,1
"P07237",1,1,1
"P09960",1,1,1
"Q86XP3",1,1,1
"P36952",1,1,1
"O60264",1,1,1
"P42765",1,1,1
"O95163",1,1,1
"A6NHR9",1,1,1
"P31943",1,1,1
"P00966",1,1,1
"O60271",1,1,1
"P20020",1,1,1
"Q9Y520",1,1,1
"P08243",1,1,1
"Q8N163",1,1,1
"Q13310",1,1,1
"P50851",1,1,1
"P33993",1,1,1
"Q15459",1,1,1
"O95373",1,1,1
"O75534",1,1,1
"Q1KMD3",1,1,1
"P63244",1,1,1
"P30153",1,1,1
"P78347",1,1,1
"Q10567",1,1,1
"P40926",1,1,1
"Q92878",1,1,1
"Q8WYP5",1,1,1
"P62258",1,1,1
"P19338",1,1,1
"P17980",1,1,1
"Q92973",1,1,1
"Q8NI36",1,1,1
"O75694",1,1,1
"P17301",1,1,1
"Q8TEX9",1,1,1
"P35241",1,1,1
"Q9UPQ0",1,1,1
"O60437",1,1,1
"Q9UKV3",1,1,1
"P35237",1,1,1
"O75083",1,1,1
"P43490",1,1,1
"O75153",1,1,1
"P12268",1,1,1
"P27694",1,1,1
"P62140",1,1,1
"Q15075",1,1,1
"Q13509",1,1,1
"A5YKK6",1,1,1
"Q9H4A4",1,1,1
"Q7KZ85",1,1,1
"Q63HN8",1,1,1
"O75116",1,1,1
"P42167",1,1,1
"Q12931",1,1,1
"P16435",1,1,1
"P11216",1,1,1
"P27348",1,1,1
"Q6PKG0",1,1,1
"P33992",1,1,1
"O00159",1,1,1
"Q13423",1,1,1
"O14776",1,1,1
"P36776",1,1,1
"Q9Y265",1,1,1
"P11387",1,1,1
"P68104",1,1,1
"O15027",1,1,1
"P62136",1,1,1
"Q8NE71",1,1,1
"P26196",1,1,1
"P54886",1,1,1
