,Bile,Bladder,Bone,Brain,breast,cervical,colorectal,esophagel,Galbladder,Gastric,head,Kidney,Leukemia,liver,lung,lymphoma,Myeloma,Neuroblastoma,Non-cancerous,ovarian,pancreatic,prostate,Rhabdoid,Sarcoma,skin,testis,thyroid,Uncategorized,Uterine
"['P60953', 'P63000', 'Q14185', 'Q5JSL3', 'Q8IZD9', 'Q8N1I0', 'Q8NF50', 'Q92608', 'Q96BY6', 'Q96HP0', 'Q96N67', 'Q9BZ29', 'Q9H7D0']",0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"['O14610', 'O14775', 'O60262', 'O75899', 'P16520', 'P48050', 'P48051', 'P48544', 'P48549', 'P50150', 'P50151', 'P59768', 'P61952', 'P62873', 'P62879', 'P63211', 'P63215', 'P63218', 'P63252', 'P78508', 'Q14500', 'Q92806', 'Q99712', 'Q9HAV0', 'Q9NPI9', 'Q9P2W3', 'Q9UBI6', 'Q9UBS5', 'Q9UK08']",0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"['O14610', 'O14775', 'O60262', 'O75899', 'P16520', 'P50150', 'P50151', 'P59768', 'P61952', 'P62873', 'P62879', 'P63211', 'P63215', 'P63218', 'Q9HAV0', 'Q9P2W3', 'Q9UBI6', 'Q9UBS5', 'Q9UK08']",0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"['O60674', 'P05231', 'P08887', 'P23458', 'P29597', 'P40189']",0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"['O00268', 'P20226', 'P21675', 'P49848', 'Q12962', 'Q15542', 'Q15543', 'Q15544', 'Q15545', 'Q16514', 'Q16594', 'Q5H9L4', 'Q5VWG9', 'Q6P1X5', 'Q8IZX4', 'Q92750', 'Q92804', 'Q9HBM6']",0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"['O00268', 'P20226', 'P21675', 'P49848', 'P52655', 'P52657', 'Q00403', 'Q12962', 'Q15542', 'Q15543', 'Q15544', 'Q15545', 'Q16514', 'Q16594', 'Q5H9L4', 'Q5VWG9', 'Q6P1X5', 'Q8IZX4', 'Q92750', 'Q92804', 'Q9HBM6']",0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"['O00268', 'O15514', 'P13984', 'P19387', 'P19388', 'P20226', 'P21675', 'P24928', 'P30876', 'P35269', 'P36954', 'P49848', 'P52434', 'P52435', 'P52655', 'P52657', 'P53803', 'P61218', 'P62487', 'P62875', 'Q00403', 'Q12962', 'Q15542', 'Q15543', 'Q15544', 'Q15545', 'Q16514', 'Q16594', 'Q5H9L4', 'Q5VWG9', 'Q6P1X5', 'Q8IZX4', 'Q92750', 'Q92804', 'Q9HBM6']",0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"['P18074', 'P19447', 'P32780', 'P50613', 'P51946', 'P51948', 'Q13888', 'Q13889', 'Q6ZYL4', 'Q92759']",0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"['O00268', 'O15514', 'P13984', 'P18074', 'P19387', 'P19388', 'P19447', 'P20226', 'P21675', 'P24928', 'P29083', 'P29084', 'P30876', 'P32780', 'P35269', 'P36954', 'P49848', 'P50613', 'P51946', 'P51948', 'P52434', 'P52435', 'P52655', 'P52657', 'P53803', 'P61218', 'P62487', 'P62875', 'Q00403', 'Q12962', 'Q13888', 'Q13889', 'Q15542', 'Q15543', 'Q15544', 'Q15545', 'Q16514', 'Q16594', 'Q5H9L4', 'Q5VWG9', 'Q6P1X5', 'Q6ZYL4', 'Q8IZX4', 'Q92750', 'Q92759', 'Q92804', 'Q9HBM6']",0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"['O15514', 'P19387', 'P19388', 'P24928', 'P30876', 'P36954', 'P52434', 'P52435', 'P53803', 'P61218', 'P62487', 'P62875']",0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
