Protein Complex,Bile,Bladder,Bone,Brain,breast,cervical,colorectal,esophagel,Galbladder,Gastric,head,Kidney,Leukemia,liver,lung,lymphoma,Myeloma,Neuroblastoma,Non-cancerous,ovarian,pancreatic,prostate,Rhabdoid,Sarcoma,skin,testis,thyroid,Uncategorized,Uterine
"['O95347', 'Q15003', 'Q15021', 'Q9BPX3', 'Q9NTJ3']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['O15379', 'O60907', 'O75376', 'Q13227', 'Q92828', 'Q9BZK7']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['O95295', 'P78537', 'Q6QNY0', 'Q6QNY1', 'Q8TDH9', 'Q96EV8', 'Q9NUP1', 'Q9UL45']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['O15143', 'O15144', 'O15145', 'O15511', 'P59998', 'P61158', 'P61160']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['O00231', 'O00232', 'O00233', 'O00487', 'O43242', 'O75832', 'P17980', 'P35998', 'P43686', 'P48556', 'P51665', 'P55036', 'P62191', 'P62195', 'P62333', 'Q13200', 'Q15008', 'Q16401', 'Q99460', 'Q9UNM6']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['O43747', 'O75843', 'P56377', 'P61966', 'Q10567', 'Q96PC3', 'Q9BXS5', 'Q9Y6Q5']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['O60264', 'O95239', 'O95347', 'Q13547', 'Q96ST3', 'Q9NTJ3', 'Q9UBC3']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['O15379', 'O60907', 'Q13227', 'Q9BZK7', 'Q9Y618']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['O00203', 'O14617', 'P53677', 'P59780', 'Q13367', 'Q92572', 'Q9Y2T2']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['O94776', 'O95983', 'Q09028', 'Q13547', 'Q14839', 'Q16576', 'Q92769']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['O94776', 'O95983', 'Q09028', 'Q13547', 'Q14839', 'Q16576', 'Q92769', 'Q9UBB5']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"['O60244', 'O75448', 'P10827', 'Q15648', 'Q93074', 'Q9NVC6', 'Q9Y2W1', 'Q9Y2X0']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
