Protein,Probability
A0A024RAD5,0.6850345943475895
A0A024RDW4,0.9275584445174119
A0A075B6P5,0.43582384507637506
A0A075B6S6,0.43582384507637506
A0A096LP49,0.99
A0A0A6YYK7,0.45464734376064814
A0A0C4DH25,0.43582384507637506
A0A0C4DH73,0.43582384507637506
A0A183,0.47641522938742104
A0A1L8H1I9,0.4925490602738513
A0A5B9,0.45161666105961884
A0AVF1,0.5688933542352593
A0AVI4,0.5368433767475375
A0AVT1,0.99
A0FGR8,0.99
A0FGR9,0.8344687830100153
A0JLT2,0.7618645297338231
A0JNW5,0.545813179143116
A0M8Q6,0.4384179070302185
A1A4S6,0.5960464718408754
A1E959,0.5070227828667712
A1L190,0.5305626377184647
A1L390,0.99
A1Z199,0.6150687446118854
A2A288,0.5591015820589458
A2KUC3,0.4358479837329222
A2NJV5,0.43582384507637506
A2NXD2,0.43582384507637506
A2RRD8,0.42831891270516287
A2RRP1,0.99
A2RV69,0.4925490602738513
A3KN83,0.99
A4D1E1,0.42831891270516287
A4D1P6,0.99
A4D1S5,0.5655536592727197
A4GXA9,0.47564524729118657
A4UGR9,0.6040153320225011
A5D8V6,0.99
A5D8V7,0.4911708073740511
A5LHX3,0.7294386340404604
A5PL33,0.42831891270516287
A5PLN9,0.6984306346404228
A5X5Y0,0.5305573565033928
A5YKK6,0.99
A6H8Y1,0.745485790050444
A6NCW0,0.45182545393046397
A6NCW7,0.45182545393046397
A6ND01,0.5305573565033928
A6NDX5,0.42831891270516287
A6NED2,0.99
A6NFH5,0.4836234073236238
A6NFK2,0.6040153320225011
A6NGB9,0.6467277402404542
A6NGQ2,0.4911708073740511
A6NHC0,0.5170920940560562
A6NHJ4,0.42831891270516287
A6NHL2,0.99
A6NHQ4,0.8400518965171908
A6NHX0,0.6195444832651913
A6NI73,0.4490058434660818
A6NIX2,0.6513336207586247
A6NK53,0.42831891270516287
A6NK59,0.5235764865168259
A6NKF1,0.99
A6NL26,0.42817814139443977
A6NMZ7,0.5583624788846551
A6NN14,0.42831891270516287
A6NNF4,0.42831891270516287
A6NNZ2,0.6165852141591136
A6NP11,0.42831891270516287
A7E2V4,0.6597790426769291
A7MCY6,0.7287589087127424
A8CG34,0.99
A8K0R7,0.42831891270516287
A8K0Z3,0.8486747658406063
A8K4G0,0.4396782200378777
A8K8P3,0.8780570790306239
A8K8V0,0.42831891270516287
A8MT69,0.5601970863944808
A8MTJ3,0.5357269706604015
A8MTY0,0.42831891270516287
A8MTZ0,0.5300935302266186
A8MUK1,0.45182545393046397
A8MUV8,0.42831891270516287
A8MUZ8,0.42831891270516287
A8MW92,0.5748098507649115
A8MWA4,0.42831891270516287
A8MWX3,0.8486747658406063
A8MX76,0.5170920940560562
A8MXD5,0.6040153320225011
A8MXU0,0.42616934988310184
A8MXV4,0.5670864708909039
A8MXY4,0.42831891270516287
A8TX70,0.5583624788846551
A9QM74,0.6564739526978822
B1AK53,0.5809158513203326
B1AL88,0.4466910307282239
B1AR17,0.4803268037586979
B2RTY4,0.5751889036480974
B4DX44,0.42831891270516287
B4DXR9,0.42831891270516287
B7Z8K6,0.46086356889953395
B7ZC32,0.5585832725520644
C0HKE1,0.42774050981100925
C0HKE2,0.42774050981100925
C0HKE3,0.42774050981100925
C0HKE4,0.42774050981100925
C0HKE5,0.42774050981100925
C0HKE6,0.42774050981100925
C0HKE7,0.42774050981100925
C0HKE8,0.42774050981100925
C0HKE9,0.42774050981100925
C4AMC7,0.8486747658406063
C9J2P7,0.45182545393046397
C9JJH3,0.45182545393046397
C9JLJ4,0.45182545393046397
C9JPN9,0.45182545393046397
C9JR72,0.5422093393520351
C9JVI0,0.45182545393046397
D6R901,0.45182545393046397
D6R9N7,0.45182545393046397
D6RA61,0.45182545393046397
D6RBQ6,0.45182545393046397
D6RCP7,0.45182545393046397
D6RGH6,0.5305573565033928
D6RJB6,0.45182545393046397
F5H8R6,0.4807055647100765
F5H9F9,0.4807055647100765
F5H9N4,0.4807055647100765
F5HA10,0.4807055647100765
F5HA93,0.6881535967877482
F5HAC7,0.4807055647100765
F5HAY6,0.4807055647100765
F5HAZ3,0.4807055647100765
F5HB40,0.5015569350177678
F5HB53,0.4471884458271329
F5HBC6,0.4807055647100765
F5HBR4,0.6881535967877482
F5HC97,0.5015569350177678
F5HCH8,0.4471884458271329
F5HCP3,0.4471884458271329
F5HDC7,0.4807055647100765
F5HDM3,0.4807055647100765
F5HDQ6,0.5015569350177678
F5HE12,0.4807055647100765
F5HEA3,0.4807055647100765
F5HEN7,0.6881535967877482
F5HEN8,0.5015569350177678
F5HET4,0.4471884458271329
F5HG51,0.5015569350177678
F5HG98,0.4807055647100765
F5HGG3,0.4807055647100765
F5HGJ4,0.4807055647100765
F5HGP1,0.4471884458271329
F5HGT1,0.6881535967877482
F5HGU6,0.44666947190376044
F5HHQ0,0.4471884458271329
F5HI32,0.44666947190376044
F5HI87,0.4807055647100765
F5HIG1,0.5015569350177678
F5HIN9,0.6881535967877482
I6L899,0.5811384954194571
K9M1U5,0.4272823430258166
L0R819,0.7092124457149467
O00115,0.99
O00116,0.99
O00139,0.99
O00141,0.5960464718408754
O00144,0.42760093922838827
O00148,0.99
O00151,0.99
O00155,0.4410926164275797
O00159,0.99
O00161,0.99
O00165,0.99
O00168,0.5019136406002875
O00187,0.5041628630259409
O00189,0.99
O00194,0.99
O00203,0.99
O00206,0.5624475096409638
O00212,0.8509858350215711
O00213,0.7402629141239134
O00217,0.99
O00219,0.5591015820589458
O00220,0.6108342400362141
O00221,0.8545537093348966
O00222,0.779996364580956
O00230,0.4458479296092671
O00231,0.99
O00232,0.99
O00233,0.99
O00237,0.5406751251424631
O00238,0.4931357573889422
O00254,0.5118687782621354
O00255,0.99
O00257,0.99
O00258,0.5893456906680731
O00264,0.99
O00267,0.99
O00268,0.99
O00287,0.99
O00291,0.99
O00292,0.4409049337719121
O00303,0.99
O00305,0.45983250441892043
O00308,0.6159025628602904
O00311,0.6071790674904991
O00327,0.5305573565033928
O00329,0.5223331755430685
O00330,0.99
O00391,0.99
O00399,0.99
O00401,0.99
O00410,0.99
O00422,0.99
O00429,0.99
O00443,0.99
O00444,0.5955068953277745
O00451,0.49249343866082973
O00459,0.6073207353431582
O00461,0.99
O00468,0.99
O00469,0.8065197014176388
O00470,0.6310124709218489
O00471,0.99
O00472,0.6845443015661501
O00482,0.8375297658858468
O00483,0.99
O00487,0.99
O00499,0.99
O00501,0.44898634907701873
O00505,0.99
O00512,0.5433363810171628
O00522,0.5862983992129742
O00541,0.99
O00548,0.8065197014176388
O00555,0.5960464718408754
O00560,0.99
O00566,0.99
O00567,0.99
O00571,0.99
O00590,0.43910262862271743
O00592,0.99
O00622,0.8287537338302357
O00623,0.8065197014176388
O00626,0.43910262862271743
O00628,0.5772637643825941
O00629,0.99
O00631,0.6150687446118854
O00716,0.5130657281725938
O00743,0.99
O00744,0.4303535963602876
O00750,0.630538257417694
O00755,0.4303535963602876
O00762,0.67437095733921
O00764,0.99
O09106,0.4803268037586979
O14490,0.5960464718408754
O14492,0.5406751251424631
O14493,0.99
O14495,0.5862983992129742
O14497,0.99
O14508,0.5235764865168259
O14511,0.5433363810171628
O14519,0.99
O14526,0.7094499449009758
O14531,0.4817785193009795
O14543,0.6697454867881947
O14544,0.5235764865168259
O14548,0.99
O14556,0.5869646194195991
O14559,0.6102765142394233
O14561,0.99
O14576,0.9329800397723484
O14578,0.6839634251348189
O14579,0.99
O14593,0.8375297658858468
O14594,0.4506955107359302
O14610,0.8065197014176388
O14613,0.6102765142394233
O14617,0.99
O14628,0.42831891270516287
O14633,0.47641522938742104
O14639,0.99
O14640,0.8344687830100153
O14641,0.99
O14653,0.99
O14654,0.5400629719991987
O14656,0.99
O14657,0.99
O14662,0.99
O14672,0.99
O14678,0.8344687830100153
O14686,0.8490791199721924
O14709,0.42831891270516287
O14713,0.5041628630259409
O14718,0.47943449477952527
O14727,0.99
O14734,0.99
O14744,0.99
O14745,0.99
O14746,0.9444008811378048
O14757,0.8344687830100153
O14763,0.6108342400362141
O14764,0.5041628630259409
O14771,0.42831891270516287
O14775,0.8585149492405835
O14776,0.99
O14777,0.99
O14782,0.574336932976022
O14786,0.8065197014176388
O14787,0.99
O14788,0.48448806462711747
O14791,0.6543444377515939
