Entry	Reviewed	Gene Names	Proteomes	Gene Ontology (cellular component)
A0A087X1C5	reviewed	CYP2D7	UP000005640: Chromosome 22	cytoplasm [GO:0005737]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; mitochondrion [GO:0005739]
A0A0B4J2F0	reviewed	PIGBOS1	UP000005640: Chromosome 15	mitochondrial outer membrane [GO:0005741]
A0A0B4J2F2	reviewed	SIK1B	UP000005640: Chromosome 21	cytoplasm [GO:0005737]; nucleus [GO:0005634]
A0A0C5B5G6	reviewed	MT-RNR1	UP000005640: Mitochondrion MT	extracellular space [GO:0005615]; mitochondrion [GO:0005739]; nucleus [GO:0005634]
A0A0K2S4Q6	reviewed	CD300H	UP000005640: Chromosome 17	extracellular region [GO:0005576]; plasma membrane [GO:0005886]
A0A0U1RRE5	reviewed	NBDY LINC01420	UP000005640: Chromosome X	P-body [GO:0000932]
A0A1B0GTW7	reviewed	CIROP LMLN2	UP000005640: Chromosome 14	cytoplasm [GO:0005737]; membrane [GO:0016020]
A0AV02	reviewed	SLC12A8 CCC9	UP000005640: Chromosome 3	membrane [GO:0016020]
A0AV96	reviewed	RBM47	UP000005640: Chromosome 4	apolipoprotein B mRNA editing enzyme complex [GO:0030895]; cytoplasm [GO:0005737]; nucleus [GO:0005634]
A0AVF1	reviewed	IFT56 TTC26	UP000005640: Chromosome 7	centrosome [GO:0005813]; ciliary basal body [GO:0036064]; ciliary base [GO:0097546]; ciliary tip [GO:0097542]; cilium [GO:0005929]; intraciliary transport particle B [GO:0030992]; neuron projection [GO:0043005]
A0AVI4	reviewed	TMEM129	UP000005640: Chromosome 4	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]
A0AVK6	reviewed	E2F8	UP000005640: Chromosome 11	chromatin [GO:0000785]; cytosol [GO:0005829]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; RNA polymerase II transcription regulator complex [GO:0090575]
A0AVT1	reviewed	UBA6 MOP4 UBE1L2	UP000005640: Chromosome 4	cytoplasm [GO:0005737]; cytosol [GO:0005829]
A0FGR8	reviewed	ESYT2 FAM62B KIAA1228	UP000005640: Chromosome 7	cytoplasmic side of plasma membrane [GO:0009898]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum-plasma membrane contact site [GO:0140268]; membrane [GO:0016020]; organelle membrane contact site [GO:0044232]; plasma membrane [GO:0005886]
A0FGR9	reviewed	ESYT3 FAM62C	UP000005640: Chromosome 3	cytoplasmic side of plasma membrane [GO:0009898]; endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum-plasma membrane contact site [GO:0140268]; organelle membrane contact site [GO:0044232]; plasma membrane [GO:0005886]
A0JLT2	reviewed	MED19 LCMR1	UP000005640: Chromosome 11	core mediator complex [GO:0070847]; mediator complex [GO:0016592]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
A0JNW5	reviewed	BLTP3B KIAA0701 SHIP164 UHRF1BP1L	UP000005640: Chromosome 12	cytosol [GO:0005829]; early endosome [GO:0005769]
A0JP26	reviewed	POTEB3	UP000005640: Chromosome 15	
A0M8Q6	reviewed	IGLC7	UP000005640: Unplaced	extracellular region [GO:0005576]; extracellular space [GO:0005615]; IgA immunoglobulin complex [GO:0071745]; IgD immunoglobulin complex [GO:0071738]; IgE immunoglobulin complex [GO:0071742]; IgG immunoglobulin complex [GO:0071735]; IgM immunoglobulin complex [GO:0071753]; plasma membrane [GO:0005886]
A0MZ66	reviewed	SHTN1 KIAA1598	UP000005640: Chromosome 10	axon [GO:0030424]; axonal growth cone [GO:0044295]; cell leading edge [GO:0031252]; cytoplasm [GO:0005737]; filopodium [GO:0030175]; growth cone [GO:0030426]; lamellipodium [GO:0030027]; microtubule [GO:0005874]; microtubule associated complex [GO:0005875]; microtubule cytoskeleton [GO:0015630]; perikaryon [GO:0043204]; perinuclear region of cytoplasm [GO:0048471]
A0PJK1	reviewed	SLC5A10 SGLT5	UP000005640: Chromosome 17	apical plasma membrane [GO:0016324]; extracellular exosome [GO:0070062]; plasma membrane [GO:0005886]
A0PJY2	reviewed	FEZF1 FEZ ZNF312B	UP000005640: Chromosome 7	cytosol [GO:0005829]; nucleoplasm [GO:0005654]
A0PK00	reviewed	TMEM120B	UP000005640: Chromosome 12	nuclear inner membrane [GO:0005637]
A0PK11	reviewed	CLRN2	UP000005640: Chromosome 4	stereocilium bundle [GO:0032421]; stereocilium membrane [GO:0060171]
A1A4S6	reviewed	ARHGAP10 GRAF2	UP000005640: Chromosome 4	cytosol [GO:0005829]; endosome membrane [GO:0010008]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]
A1A4Y4	reviewed	IRGM IFI1 IRGM1 LRG47	UP000005640: Chromosome 5	autophagosome membrane [GO:0000421]; cell projection [GO:0042995]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; late endosome membrane [GO:0031902]; lysosomal membrane [GO:0005765]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]; phagocytic cup [GO:0001891]; phagocytic vesicle membrane [GO:0030670]
A1A519	reviewed	FAM170A ZNFD	UP000005640: Chromosome 5	nucleus [GO:0005634]
A1A5B4	reviewed	ANO9 PIG5 TMEM16J TP53I5	UP000005640: Chromosome 11	plasma membrane [GO:0005886]
A1A5C7	reviewed	SLC22A23 C6orf85	UP000005640: Chromosome 6	plasma membrane [GO:0005886]
A1E959	reviewed	ODAM APIN	UP000005640: Chromosome 4	cell periphery [GO:0071944]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; mitotic spindle [GO:0072686]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; supramolecular fiber [GO:0099512]
A1KXE4	reviewed	FAM168B KIAA0280L MANI	UP000005640: Chromosome 2	axon [GO:0030424]; extracellular exosome [GO:0070062]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]
A1KZ92	reviewed	PXDNL VPO2	UP000005640: Chromosome 8	endoplasmic reticulum [GO:0005783]; extracellular space [GO:0005615]; plasma membrane [GO:0005886]
A1L0T0	reviewed	ILVBL AHAS HACL2	UP000005640: Chromosome 19	acetolactate synthase complex [GO:0005948]; endoplasmic reticulum membrane [GO:0005789]; membrane [GO:0016020]
A1L167	reviewed	UBE2QL1	UP000005640: Chromosome 5	nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
A1L190	reviewed	SYCE3 C22orf41 THEG2	UP000005640: Chromosome 22	central element [GO:0000801]; chromosome [GO:0005694]; nucleus [GO:0005634]
A1L390	reviewed	PLEKHG3 KIAA0599	UP000005640: Chromosome 14	cytoskeleton [GO:0005856]; cytosol [GO:0005829]
A1L3X0	reviewed	ELOVL7	UP000005640: Chromosome 5	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]
A1L4H1	reviewed	SSC5D	UP000005640: Chromosome 19	collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; membrane [GO:0016020]
A1L4K1	reviewed	FSD2 SPRYD1	UP000005640: Chromosome 15	nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; sarcoplasmic reticulum [GO:0016529]
A1X283	reviewed	SH3PXD2B FAD49 KIAA1295 TKS4	UP000005640: Chromosome 5	anchoring junction [GO:0070161]; cell projection [GO:0042995]; cytoplasm [GO:0005737]; podosome [GO:0002102]
A1XBS5	reviewed	CIBAR1 FAM92A FAM92A1	UP000005640: Chromosome 8	centriole [GO:0005814]; ciliary basal body [GO:0036064]; ciliary base [GO:0097546]; ciliary transition zone [GO:0035869]; cytoplasm [GO:0005737]; mitochondrial crista [GO:0030061]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; nucleus [GO:0005634]
A1Z1Q3	reviewed	MACROD2 C20orf133	UP000005640: Chromosome 20	nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
A2A288	reviewed	ZC3H12D C6orf95 MCPIP4 TFL	UP000005640: Chromosome 6	cytoplasm [GO:0005737]; cytoplasmic ribonucleoprotein granule [GO:0036464]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; P-body [GO:0000932]
A2A2Y4	reviewed	FRMD3 EPB41L4O	UP000005640: Chromosome 9	cytoskeleton [GO:0005856]; membrane [GO:0016020]
A2IDD5	reviewed	CCDC78 C16orf25 JFP10	UP000005640: Chromosome 16	centriole [GO:0005814]; cytoplasm [GO:0005737]; deuterosome [GO:0098536]; perinuclear region of cytoplasm [GO:0048471]; sarcolemma [GO:0042383]; sarcoplasmic reticulum [GO:0016529]
A2PYH4	reviewed	HFM1 SEC3D1	UP000005640: Chromosome 1	nucleus [GO:0005634]
